Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Adiantum capillus-veneris,,Maidenhair fern,neidonhiussaniainen,#N/A,,,1,,,,,,,,,,,,"Fine black stems hold delicate fan-shaped leaflets, and the airy texture creates a soft, almost lace-like effect that rewards careful placement and attentive watering.",,,,,,,,,,,,,,,,,,,"Finne, mustat varret pidettävät hienoja, kantavia lehtilapioita, ja ilmava tekstiuri luodaan pehmeän, lähes kudottavan vaikutelman, joka palkitsee huolellista sijoitusta ja huolellista vesittämistä.",,,,,,,,,
Adromischus cooperi,,Plover eggs plant,kirjolehtimehikas,G-HF 	SUKKULENTIT,3123,G-HF 	SUKKULENTIT,1,,,,,,,,Flowers are small and secondary.,,,,Compact and manageable for indoor cultivation.,,,,,,,Speckled leaves resemble patterned stones.,,,,,,,,Kukat ovat pieniä ja toissijaisia.,,,,Kompakti ja hallittava sisäkasvatussa.,,,,,,,Keltais- tai mustapilkulliset lehdet muistuttavat muotoiltuja kivikasa.,,
Aechmea fasciata,,Silver vase plant,kirjopikarikukka,G-HA 	TROOPPINEN HUONE,8150,G-HA 	TROOPPINEN HUONE,1,,,,,,,,A central pink flower spike persists for months.,,,,Grows as a compact rosette suited to tabletops and shelves.,,,,,,,Silver banded leaves form a geometric rosette structure.,,,,,,,,Keskellä oleva punainen kukkakasvu kestää kuukausia.,,,,Kasvaa kompaktina rosetiksi sopivaksi pöytien ja koriin.,,,,,,,Hopeanväriset laikkuet levät muodostavat geometrisen rosetin rakenteen.,,
Aechmea fulgens,,Bromeliad,bromelia,G-HA 	TROOPPINEN HUONE,16789,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Bright reddish flower bracts appear centrally.,,,,Adapts well to indoor light conditions.,,,,,,,Thick leaves form a strong symmetrical rosette.,,,,,,,,Vahva punainen kukkakasvu ilmenee keskellä.,,,,Soveltuu hyvin sisävalolle.,,,,,,,"Vahvat, tasapainoiset lehtiruusukkeet muodostuvat voimakkaaksi symmetriseksi ryhmäksi.",,
Aechmea miniata,,Bromeliad,bromelia,G-HA 	TROOPPINEN HUONE,21758,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Produces colourful central inflorescences.,,,,Suitable for indoor display collections.,,,,,,,Compact rosette highlights structural symmetry.,,,,,,,,Väriset keskimmäiset kukinnot tuottavat.,,,,Sopii sisätilojen näyttelykokoelmien käyttöön.,,,,,,,Kompakti rosetti korostaa rakenteellista symmetriaa.,,
Aeonium arboreum,,Tree aeonium,aeonium,G-HF 	SUKKULENTIT,15645,G-HF 	SUKKULENTIT,1,,,,,,,,,,,,Easy to maintain indoors in bright conditions.,,,,,,,"Rosettes on stems form layered, tree-like structures.",,,,,,,,,,,,Helppo ylläpitää sisällä valoisissa olosuhteissa.,,,,,,,"Varret kasvavat kerroksittain, puumaisia rakenteita muodostavat lehtiruusukkeet.",,
Aeonium hierrense,,Tree aeonium,aeonium,G-HF 	SUKKULENTIT,17159,G-HF 	SUKKULENTIT,1,,,,,,,,,,,,Grows upright indoors with minimal care.,,,,,,,Large layered rosettes create strong vertical stacking.,,,,,,,,,,,,Kasvaa pystyssä sisällä vähäpätöisellä huoltovaatimuksella.,,,,,,,Suuret kerrokselliset rosetit luovat voimakasta pystyä kasaamista.,,
Aeschynanthus marmoratus,,Black pagoda plant,marmoroitu huulikukka,G-HA 	TROOPPINEN HUONE,4968,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Small flowers appear beneath foliage.,,,,Ideal for hanging baskets in indoor spaces.,,,,,,,Leaves are patterned with marbled veining underneath.,,,,,,,,Pienet kukat ilmestyvät lehtien alla.,,,,Suositeltu käytettäväksi riippuvissa koristeputkissa sisätiloissa.,,,,,,,Lehdet ovat kuvioituneita marbleoituilla sivuverhoiluilla alhaalla.,,
Aeschynanthus radicans,,Lipstick plant,huulikukkainen,G-HA 	TROOPPINEN HUONE,4966,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Tubes open from dark buds in a striking color contrast.,,,,"Ideal for hanging pots, allowing stems to trail naturally in indoor spaces.",,,,,,,"The flower buds resemble lipstick tubes, creating a playful visual effect.",,,,,,,,Pienet putket aukeavat tummista kukkien pölyävistä kukinnoista erottuvalla värisuhteella.,,,,"Parvekkeen pöydille sopiva, jossa oksat voivat juurtua luonnostaan sisätiloihin.",,,,,,,"Kukkien pölytysmuodostumat muistuttavat huulipunamalleja, luodakseen leikkisän visuaalisen vaikutelman.",,
Aeschynanthus speciosus,,Basket vine,korallikukka,G-HA 	TROOPPINEN HUONE,4963,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Bright orange flowers hang in clusters along stems.,,,,Adapts well to indoor humidity and benefits from elevated placement.,,,,,,,The trailing habit combined with vivid flower color creates layered depth.,,,,,,,,Keltaoranssit kukat kasvavat oksilla ryhminä.,,,,Sopii hyvin sisätilojen kosteudelle ja hyötyy korkeammasta sijainnista.,,,,,,,Juurtuvan kasvutapauksen yhdistettynä voimakkaan kukkivärisellä luodaan monikerroksinen syvyys.,,
Agave americana,,Agave,Agaave,G-HF 	SUKKULENTIT,205,G-HF 	SUKKULENTIT,1,See under tags,,,,,,,,,,,Suited to bright indoor environments with space.,,,,,Sharp leaves and irritating sap – contact risk mainly for humans.,,Strong radial symmetry and rigid leaf structure.,,,,,,,,,,,,"Sopii kirkkaisiin sisätiloihin, joissa on tilaa.",,,,,Paksut lehdet ja ärsyttävä siitepöly – kontaktiriski on pääasiassa ihmisille.,,Vahva radiaalisydän ja kova lehtirakenne.,,
Agave attenuata,,Foxtail agave,häntäagaave,G-HF 	SUKKULENTIT,2760,G-HF 	SUKKULENTIT,1,,,,,,,,,,,,More adaptable indoors due to softer leaves.,,,,,,,"Smooth, arching leaves create a softer sculptural effect.",,,,,,,,,,,,Sopii paremmin sisätiloihin pehmeiden lehtien vuoksi.,,,,,,,"Sileät, kaarevat lehdet luovat pehmeän muodon.",,
Aglaonema ‘Golden Bay’,,Golden Bay Chinese evergreen,kirjomaija ‘Golden Bay’,#N/A,,,1,,,,,,,,,,,,"Creamy yellow-green centers lighten the large leaves, and the broad patterned surfaces make the plant especially effective in darker corners that need visual lift.",,,,,,,,,,,,,,,,,,,"Kermanvalkoiset keskusrungot valaisevat suuria lehtiä, ja laajat, kuvioituneet pinnat tekevät kasvista erityisen tehokasta pimeissä kulmikkeissa, jotka tarvitsevat visuaalista nostetta.",,,,,,,,,
Aglaonema ‘Maria Emerald Beauty’,,Maria Emerald Beauty Chinese evergreen,kirjomaija ‘Maria Emerald Beauty’,#N/A,,,1,,,,,,,,,,,,"Dense dark leaves are softly marbled, and the compact, rounded habit gives the plant a calm, shaded-forest character.",,,,,,,,,,,,,,,,,,,"Tiheät tummat lehdet ovat pehmeästi marbleoituja, ja kompakti, pyöreä kasvutapa antaa kasville rauhallisen, varjostetun metsän luonteen.",,,,,,,,,
Aglaonema ‘Siam’,,Siam Chinese evergreen,kirjomaija ‘Siam’,#N/A,,,1,,,,,,,,,,,,"Bright red or pink edging outlines the leaves, and the colored margins make the structure of each blade stand out with unusual clarity.",,,,,,,,,,,,,,,,,,,"Punainen tai pinkki reunus korostaa lehtiä, ja väriset reunukset tekevät jokaisen lehtien rakenteen erottuvaksi tavallista selvemmin.",,,,,,,,,
Aglaonema ‘Silver Bay’,,Silver Bay Chinese evergreen,kirjomaija ‘Silver Bay’,#N/A,,,1,,,,,,,,,,,,"Broad leaves carry a pale silver center framed by deep green margins, and the contrast helps illustrate how variegation can brighten shaded interior spaces.",,,,,,,,,,,,,,,,,,,"Laajat lehdet kantavat vaalean hopean keskustan, joka on kaartunut syvän vihreän reunus, ja kontrasti auttaa kuvaillessa, miten variaatio voi kirkastaa varjoisissa sisätiloissa.",,,,,,,,,
Aglaonema ‘Stripes’,,Stripes Chinese evergreen,kirjomaija ‘Stripes’,#N/A,,,1,,,,,,,,,,,,"Linear patterning runs through the foliage in a controlled arrangement, and the striped surface gives the plant a tidy, decorative look well suited to modern interiors.",,,,,,,,,,,,,,,,,,,"Lineaarinen patteri kulkee lehtien läpi hallitun järjestyksessä, ja viistetty pinta antaa kasvulle tyydyttävän, koristeellisen ulkonäön, joka soveltuu nykyaikaisiin sisustukseen.",,,,,,,,,
Aglaonema ‘Very Red’,,Very Red Chinese evergreen,kirjomaija ‘Very Red’,#N/A,,,1,,,,,,,,,,,,"Red tones spread across the foliage in a bold wash of color, showing how tropical houseplants can provide strong leaf color even without showy flowers.",,,,,,,,,,,,,,,,,,,"Punaiset sävyt levittäytyvät lehtien pintaan voimakkaana värisävyinä, osoittamassa, miten trooppiset huonekasvit voivat tarjota voimakasta lehtiväriä ilman näyttäviä kukkia.",,,,,,,,,
Acalypha hispida,,Chenille plant,isokissanhäntä,G-HA 	TROOPPINEN HUONE,5215,G-HA 	TROOPPINEN HUONE,2,,x -135.49  y 15.00,,,,,,"Acalypha hispida, native to New Guinea and nearby Pacific islands, produces long, hanging crimson flower spikes that can reach up to 50 cm in length. It flowers repeatedly in warm conditions, making it an eye-catching ornamental plant.",,,,"Acalypha hispida is commonly grown as a houseplant or greenhouse specimen in temperate climates. It thrives in warm, humid conditions with bright, indirect light and is valued for its unusual flowers.",,,,,,,,"Acalypha hispida is instantly recognizable by its soft, pendulous flower spikes, which resemble long red catkins or chenille tassels. Few ornamental plants produce flowers with such a distinctive shape and texture.",y,,,,,,"Acalypha hispida, joka on kotoisin Uuden-Guinean ja lähialueiden saarilta, tuottaa pitkiä, vaaleanpunaisia kukkakukkia, jotka voivat kasvaa jopa 50 cm pitkiksi. Se kukkii usein lämpimissä olosuhteissa, tekemällä siitä silmiä kiinnostavan koristekasvin.",,,,"Acalypha hispida kasvatetaan yleisesti huonekasvina tai kasvihuonekasvina matalapaineisissa ilmastoissa. Se kukoistaa lämpimissä, kosteissa olosuhteissa ja valoisissa, epäsuorissa valoissa, ja se arvostetaan epätavallisista kukistaan.",,,,,,,,"Acalypha hispida tunnetaan heti silmiinpistävistä, pehmeistä, vaaleanpunaisista kukkakukistaan, jotka muistuttavat pitkiä punertavia kattilakukkia tai chenille-tassuja. Vain muutamia koristekasveja tuottaa kukkia, jotka ovat niin erikoisia muotoa ja tekstuuria.",
Aglaonema modestum,,Chinese evergreen,kirjomaija,G-HA 	TROOPPINEN HUONE,16679,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Reliable indoor plant for offices and homes.,,,,,,,"Clean, uniform green leaves create calm visual balance.",,,,,,,,,,,,Luotettava sisäkasvi toimii myös toimistoihin ja kotiin.,,,,,,,"Puhtaat, yhtenäiset vihreät lehdet luovat rauhallisen visuaalisen tasapainon.",,
Albizia lebbeck,,Woman’s tongue tree,silkkiakaasia,G-HA 	TROOPPINEN HUONE,17764,G-HA 	TROOPPINEN HUONE,1,,,,,,,,"Produces fluffy, brush-like flowers.",,,,Unusual indoor tree for large spaces.,,,,,,,Fine compound leaves create airy canopy texture.,,,,,,,,"Tuottaa karkeita, karheita kukkia.",,,,Erittäin epätavallinen sisäpuutarha suurille tiloille.,,,,,,,"Finne, yhdistetyt lehdet luovat ilmavat kanoppi-tekstiä.",,
Aleurites moluccanus,,Candlenut,Kukui-puu,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Seeds resemble edible nuts; raw seeds are toxic to humans.,,,,,,,,,,,,,,,,,,,Siemenet muistuttavat syötäviä pähkinöitä; raakasiemenet ovat myrkyllisiä ihmisille.,,,,
Allamanda cathartica,,Golden trumpet,allamandaköynnös,G-HA 	TROOPPINEN HUONE,5035,G-HA 	TROOPPINEN HUONE,1,,,,,,,,Large yellow trumpet flowers dominate the plant.,,,,Thrives indoors with strong light.,,,,,,,Strong color contrast with shiny foliage.,,,,,,,,Suuret keltakuvioiset trumpetit kasvavat kasvin yllä.,,,,Kasvaa hyvin sisällä voimakkaan valon alla.,,,,,,,Vahva värisävy kontrastoi kiiltävällä kasvustolla.,,
Actinidia kolomikta,,super-hardy kiwi,Kiinanlaikkuköynnös / minikiivi,R-O 	ARBORETUM,22572,R-O 	ARBORETUM,1,,,,,,,,,,"Actinidia kolomikta produces small, kiwi-like fruits that ripen in late summer. The berries are edible when fully ripe and have a sweet flavour, though yields are usually modest compared to commercial kiwifruit species.",,,,,0,,,,"Actinidia kolomikta is an ornamental climbing plant known for its unusual leaf colouring, often showing green, white, and pink tones on the same plant. The variegation becomes especially vivid in sunny locations and makes it popular as a decorative vine.","Actinidia kolomikta is especially notable among hardy kiwi species for its highly variable and ornamental leaf coloration, which can shift significantly depending on light conditions. This combination of decorative foliage and edible fruit makes it stand out from most temperate climbing plants.",y,,,,,,,,"Actinidia kolomikta tuottaa pieniä, kiinuisia hedelmää, jotka kypsyvät myöhäisessä kesässä. Hedelmät ovat syötäviä täysikypsänä ja niillä on makea maku, vaikka tuotto on yleensä kohtalainen verrattuna kaupallisiin kiinuisiin lajiin.",,,,,Ei ole tietoa.,,,,"Actinidia kolomikta on koristekasvi, joka tunnetaan epätavallisesta lehtivärisyydestään, jossa voi esiintyä vihreää, valkoista ja pinkkiä sävyjä samalla kasvulla. Värisävyt muuttuvat erityisesti aurinkoisissa paikoissa, mikä tekee kasvin suosittuksi koristekasviksi.","Actinidia kolomikta on erityisen tunnettu kestävistä kiinuisista lajeista koristekasvina, joka tunnetaan monipuolisesta ja koristellisesta lehtivärisyydestään, joka voi vaihdella merkittävästi valon mukaan. Tämän yhdistelmän koristellinen kasvusto ja syötävät hedelmät tekevät siitä poikkeuksellisen monipuolisen lämpimän ilmaston kasvinsuojelulajeista.",
Aglaonema commutatum,,Chinese evergreen,Malakanlaikkuvehka,G-HA 	TROOPPINEN HUONE,16678,G-HA 	TROOPPINEN HUONE,1,,x -136.17  y 9.91,,,,,,,,,,"Aglaonema commutatum is a tropical foliage plant native to the Philippines. It is prized for its elegant silver-green patterned leaves, shade tolerance, and easy care, making it a favorite among indoor plant enthusiasts and beginners alike.",,,,,Decorative foliage; ingestion harmful mainly for pets.,,,,y,,,,,,,,,,"Aglaonema commutatum on trooppinen kasvi, joka on kotoisin Filippiineistä. Se on arvostettu koristekasvinaan eleganttien hopeanvihreiden kuvioitujen lehtiensä, varjoa kestävyytensä ja helpon hoitokykynsä ansiosta, mikä tekee siitä suosittua sisäkasveja harrastavien ja aloittelijoiden keskuudessa.",,,,,"Koristellinen kasvusto; syönti haitallista, pääasiassa eläimille.",,,,
Alocasia baginda ‘Dragon Scale’,,Dragon Scale alocasia,alokasia ‘Dragon Scale’,#N/A,,,1,,,,,,,,,,,,"Thick leaves are quilted with dark veins over a pale surface, creating a scaled texture that gives the plant an almost sculpted, reptilian appearance.",,,,,,,,,,,,,,,,,,,"Paksut lehdet ovat kuvioituneita tummien juovien yli vaalealla pinnalla, mikä luodaan kankaan tekstuuria, joka antaa kasville lähes veistetty, reptililäiskäinen ulkonäkö.",,,,,,,,,
Alocasia cuprea,,Mirror plant alocasia,alokasia ‘Cuprea’,#N/A,,,1,,,,,,,,,,,,"Metallic leaves gleam like hammered copper, and the reflective surface turns light into an active part of the display, making the plant especially interesting for close viewing.",,,,,,,,,,,,,,,,,,,"Metalliset lehdet loistavat kuten lyötyä kuparia, ja heijastava pinta muuttaa valon aktiiviseksi osaksi näyttelyä, mikä tekee kasvista erityisen kiinnostavaa lähikatselmukselle.",,,,,,,,,
Alocasia macrorrhizos ‘Camouflage Variegata’,,Camouflage variegated giant alocasia,alokasia ‘Camouflage Variegata’,#N/A,,,1,,,,,,,,,,,,"Large leaves are splashed with irregular patches of contrasting color, and the variegation emphasizes the plant’s dramatic scale and broad tropical blades.",,,,,,,,,,,,,,,,,,,"Suuret lehdet ovat särkiviä epäsäännöllisillä kontrastikuvioilla, ja variaatio korostaa kasvin dramatiikkaa ja laajoja trooppisia lehtiä.",,,,,,,,,
Alocasia micholitziana ‘Frydek Variegated’,,Variegated Frydek alocasia,alokasia ‘Frydek Variegated’,#N/A,,,1,,,,,,,,,,,,"Velvety leaves are split by white venation and irregular cream variegation, and the combination of soft texture and high contrast makes the foliage especially collectible.",,,,,,,,,,,,,,,,,,,"Pehmeät lehdet ovat jaettuina valkoisella venatuksella ja epäsäännöllisellä kremallakin variaatiolla, ja pehmeän pinnan ja korkean kontrastin yhdistelmä tekee lehtien kerääminen erityisen kiinnostuksenarvoista.",,,,,,,,,
Alocasia odora,,Giant alocasia,alokasia,G-HA 	TROOPPINEN HUONE,16680,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Provides a tropical feel indoors with enough space.,,,,,"Irritating sap; toxic if eaten, especially for pets.",,Large arrow-shaped leaves create bold silhouettes.,,,,,,,,,,,,Tarjoaa trooppista tunnelmaa sisällä tarpeeksi tilaa.,,,,,"Irtokasvien tahna aiheuttaa ärsytystä; myrkyllinen, jos syödään, erityisesti lemmikkeille.",,Suuret nuolimaiset lehdet luovat voimakasta silhuettia.,,
Alocasia odora variegata,,Variegated alocasia,kirjavalehtialokasia,#N/A,,,1,,,,,,,,,,,,High-value indoor collector plant.,,,,,,,Dramatic white and green leaf variegation.,,,,,,,,,,,,Korkea-arvoinen sisäkasvi keräilijöille.,,,,,,,Dramatiikkaa valkoista ja vihreää lehtivariaatiota.,,
Alocasia spp.,,Elephant ear,Alokasia,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Large striking leaves; sap causes irritation and toxicity if ingested.,,,,,,,,,,,,,,,,,,,"Suuria vaikuttavia lehtiä; tahna aiheuttaa ärsytystä ja myrkyllisyyttä, jos syödään.",,,,
Alocasia tandurusa ‘Jacklyn’,,Jacklyn alocasia,alokasia ‘Jacklyn’,#N/A,,,1,,,,,,,,,,,,"Deeply lobed leaves with bold venation create a wild, antler-like outline, and the unusual shape makes the plant memorable even at a distance.",,,,,,,,,,,,,,,,,,,"Syvään jakautuneet lehdet voimakkaalla venatuksella luovat villin, hirvenmuotoisen silhuettin, ja epätavallinen muoto tekee kasvin muistuttavaksi jo kaukaa.",,,,,,,,,
Alocasia veitchii,,King alocasia,kuningasalokasia,G-HA 	TROOPPINEN HUONE,40380,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,Grown indoors as a dramatic statement plant.,,,,,,,Strong veins and glossy leaves create bold contrast.,,,,,,,,,,,,Kasvatetaan sisällä dramatiikan ilmentämiseksi.,,,,,,,Voimakkaat siipiratas ja kiiltävät lehdet luovat voimakasta kontrastia.,,
Alocasia zebrina,,Zebra alocasia,seebra-alokasia,#N/A,,,1,,,,,,,,,,,,"The striped petioles look almost painted, and the marked stems are often as striking as the foliage itself, drawing attention to the plant’s upright support structure.",,,,,,,,,,,,,,,,,,,"Väriset varret näyttävät lähes maalatuilta, ja merkittyjä varret ovat usein niin vaikuttavia kuin lehdet itsekin, vetävät huomiota kasvin ylöspäin tukeutuvan rakennekuvaus.",,,,,,,,,
